SITE CODE= EA0ïƒéqésîéòJí¨ÅiãåÅj        ,35.2733,133.3483,  9,7.3,36805.5627072,  3.62,  6.15
 LAT.=    0.0000
 LON.=    0.0000
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2000 10 06 13 30 10
 NS,EW,UD
0.050,-0.002,-0.008
0.013,0.000,-0.010
-0.031,0.000,-0.023
-0.019,0.003,0.007
-0.007,0.011,0.027
-0.023,0.011,0.040
-0.012,0.004,0.027
0.009,-0.001,-0.005
0.011,-0.008,-0.002
0.009,-0.013,0.002
0.005,-0.013,0.006
0.003,-0.013,0.018
-0.003,0.000,0.017
-0.009,0.018,0.007
-0.011,0.021,-0.009
-0.017,0.010,-0.007
-0.010,-0.001,0.000
0.005,-0.010,-0.002
0.015,-0.014,0.002
0.009,-0.003,-0.005
-0.003,0.002,-0.011
0.003,-0.004,-0.016
0.005,-0.010,-0.018
-0.001,-0.008,-0.004
-0.003,0.016,-0.005
0.002,0.028,-0.009
0.026,0.015,-0.012
0.034,-0.004,-0.004
0.007,-0.020,0.018
0.000,-0.012,0.028
0.007,0.000,0.016
-0.004,0.009,0.000
-0.015,0.027,-0.005
